year,brand,model,horsepower,consumption,places,doors,length,width,height,speed,acceleration,price_eur
1989,renault,19,43.0,6.5333333015441895,5.0,3.0,415.5,167.5,141.5,160.0,15.0,7303.3115234375
1989,mazda,929,82.5,9.266666412353516,5.5,4.0,469.0,169.5,142.5,187.0,9.899999618530273,13940.275390625
1989,BMW,3,75.0,8.533333778381348,4.0,2.0,432.5,164.5,138.0,182.0,12.100000381469727,14013.56640625
1989,alfa romeo,33,63.0,7.933333396911621,5.0,5.0,401.5,161.0,134.5,172.0,10.300000190734863,8282.115234375
1989,alfa romeo,33,58.0,7.9666666984558105,5.0,5.0,401.5,161.0,134.5,167.0,11.5,9382.455078125
1989,volvo,240,85.0,9.100000381469727,5.0,4.0,479.0,172.0,143.0,160.0,14.0,14423.96875
1989,renault,5,33.0,5.4666666984558105,5.0,3.0,359.0,158.5,139.0,143.0,16.0,5720.57666015625
1989,saab,9000,99.0,9.399999618530273,5.0,5.0,462.0,176.5,142.0,190.0,8.399999618530273,19730.46484375
1989,seat,marbella,25.0,6.366666793823242,5.0,3.0,347.5,150.0,144.5,131.0,20.200000762939453,4017.873779296875
1989,mitsubishi,galant,66.0,7.866666793823242,5.0,4.0,453.0,169.5,141.5,168.0,12.699999809265137,12305.486328125
1989,VW,jetta,40.0,7.200000286102295,5.0,4.0,431.5,166.5,141.5,149.0,17.0,7443.87744140625
1989,nissan,sunny,66.0,7.4666666984558105,5.0,3.0,403.0,164.0,138.0,175.0,,7974.7109375
1989,rover,metro,35.0,5.9666666984558105,5.0,3.0,340.5,155.0,137.0,140.0,17.899999618530273,6548.90185546875
1989,toyota,starlet,40.0,6.166666507720947,4.0,3.0,370.0,159.0,139.5,150.0,13.5,8546.701171875
1989,renault,4,25.0,6.5333333015441895,4.0,5.0,366.0,148.0,155.0,118.0,,5231.0888671875
1989,nissan,sunny,59.0,8.0,5.0,5.0,403.0,164.0,138.0,156.0,14.899999618530273,9785.478515625
1989,fiat,croma,61.0,7.400000095367432,5.0,5.0,449.5,176.0,143.0,170.0,14.0,12662.3564453125
1989,citroen,CX,89.0,11.033332824707031,5.800000190734863,5.0,493.0,177.0,146.0,195.0,11.300000190734863,16713.427734375
1989,honda,accord,65.0,7.4666666984558105,5.0,4.0,453.5,169.5,135.5,175.0,,9864.3408203125
1989,seat,ibiza,44.0,6.833333492279053,5.0,3.0,364.0,161.0,139.5,155.0,16.0,6164.66845703125
1989,fiat,regatta,48.0,6.933333396911621,5.0,4.0,426.0,165.0,142.0,155.0,13.5,8671.62890625
1989,VW,polo,33.0,7.166666507720947,4.5,3.0,365.5,158.0,135.5,142.0,19.5,5878.23388671875
1989,peugeot,205,33.0,5.900000095367432,5.0,3.0,370.5,156.0,137.5,143.0,18.799999237060547,6101.97119140625
1989,VW,passat,55.0,7.766666412353516,5.0,4.0,457.5,170.5,143.0,169.0,16.100000381469727,9936.533203125
1989,volvo,440-460,80.0,8.033333778381348,5.0,5.0,431.0,168.0,138.0,185.0,10.800000190734863,13226.2880859375
1989,VW,polo,33.0,7.166666507720947,4.5,3.0,365.5,158.0,135.5,142.0,19.5,5271.01171875
1989,ford,fiesta,40.0,5.766666412353516,5.0,3.0,374.0,161.0,132.5,149.0,16.299999237060547,6213.07666015625
1989,nissan,bluebird,77.0,8.5,5.0,4.0,436.0,169.0,139.0,185.0,,9932.0830078125
1989,rover,montego,61.0,7.0,5.0,4.0,447.0,171.0,142.0,165.0,10.899999618530273,9549.8330078125
1989,mitsubishi,colt,50.0,6.8333330154418945,5.0,3.0,395.0,167.0,138.0,157.0,,9080.791015625
1989,lancia,Y10,33.0,5.4666666984558105,5.0,3.0,339.0,151.0,144.0,145.0,16.0,5891.130859375
1989,rover,800,88.0,8.100000381469727,5.0,4.0,469.5,173.0,140.0,191.0,11.0,14882.8564453125
1989,rover,metro,34.5,5.9666666984558105,5.0,3.0,340.5,155.0,137.0,140.0,17.899999618530273,5705.09521484375
1989,renault,25,74.0,7.300000190734863,5.0,5.0,471.5,181.0,141.5,182.0,11.5,11746.3662109375
1989,fiat,uno,33.0,5.5333333015441895,5.0,3.0,364.5,155.0,143.0,145.0,16.200000762939453,5904.05078125
1989,opel,senator,115.0,11.033333778381348,5.0,4.0,484.5,176.5,145.0,225.0,9.300000190734863,19657.904296875
1989,audi,100/200,85.0,8.866666793823242,5.0,4.0,479.5,181.5,142.0,190.0,10.699999809265137,17141.26953125
1989,saab,9000,94.0,9.300000190734863,5.0,5.0,462.0,176.5,142.0,185.0,9.0,17553.203125
1989,fiat,tipo,41.0,6.233333110809326,5.0,5.0,396.0,170.0,144.5,150.0,17.200000762939453,8395.1005859375
1989,mitsubishi,sapporo,95.0,9.366666793823242,5.0,4.0,466.0,169.5,137.0,190.0,,14639.0908203125
1989,seat,malaga,46.0,7.099999904632568,5.0,4.0,427.5,165.0,140.0,150.0,17.0,7379.63330078125
1989,honda,civic,55.0,6.4666666984558105,5.0,3.0,396.5,168.0,133.0,168.0,11.0,8582.9697265625
1989,mercedes,200,80.0,8.633333206176758,5.0,4.0,474.0,174.0,144.5,185.0,13.0,19389.107421875
1989,honda,civic,55.0,6.4666666984558105,4.0,3.0,396.5,168.0,133.0,168.0,11.0,9636.294921875
1989,alfa romeo,164,107.0,8.333333015441895,5.0,4.0,455.5,176.0,140.0,210.0,9.199999809265137,18496.98828125
1989,mitsubishi,lancer,55.0,7.199999809265137,5.0,4.0,423.5,167.0,140.5,165.0,11.899999618530273,11209.59375
1989,alfa romeo,75,81.0,9.366666793823242,5.0,4.0,433.0,163.0,140.0,180.0,10.699999809265137,12147.73828125
1989,toyota,camry,94.0,7.599999904632568,5.0,4.0,452.0,169.0,137.0,190.0,9.699999809265137,15972.3173828125
1989,audi,80/90,51.0,7.233333587646484,5.0,4.0,439.5,169.5,139.5,168.0,14.100000381469727,11013.8984375
1989,rover,mini,30.0,5.766666412353516,4.0,2.0,305.0,141.0,135.0,129.0,17.899999618530273,5209.0
1989,mitsubishi,lancer,51.0,6.8333330154418945,5.0,4.0,423.5,167.0,140.5,157.0,,8522.7578125
1989,rover,mini,30.0,5.766666412353516,4.0,2.0,305.0,141.0,135.0,129.0,17.899999618530273,4532.10205078125
1989,fiat,croma,61.0,7.400000095367432,5.0,5.0,449.5,176.0,143.0,170.0,14.0,10016.748046875
1989,renault,25,87.0,8.100000381469727,5.0,5.0,471.5,181.0,141.5,195.0,10.699999809265137,14875.15625
1989,nissan,bluebird,61.0,8.433333396911621,4.0,4.0,436.0,169.0,139.0,165.0,,10568.43359375
1989,suzuki,alto,29.5,6.166666507720947,4.0,3.0,330.0,140.5,141.0,133.0,20.5,4668.22607421875
1989,saab,900,92.0,9.633333206176758,5.0,3.0,468.0,169.0,143.0,175.0,11.5,13849.8125
1989,alfa romeo,164,109.0,8.333333015441895,5.0,4.0,455.5,176.0,140.0,210.0,9.199999809265137,17697.255859375
1989,ford,sierra,55.0,7.566666603088379,5.0,4.0,442.5,169.5,136.0,165.0,14.199999809265137,11513.1689453125
1989,citroen,2CV6,21.0,6.099999904632568,4.0,5.0,383.0,148.0,160.0,115.0,33.5,4800.5126953125
1989,nissan,maxima,118.0,9.466667175292969,5.0,4.0,476.5,176.0,139.5,225.0,,26827.94921875
1989,rover,montego,61.0,7.0,5.0,4.0,447.0,171.0,142.0,165.0,10.899999618530273,10924.9140625
1989,alfa romeo,33,84.0,7.599999904632568,5.0,5.0,401.5,161.0,134.5,185.0,9.699999809265137,9765.8115234375
1989,VW,passat,66.0,8.199999809265137,5.0,4.0,457.5,170.5,143.0,177.0,13.800000190734863,13194.796875
1989,citroen,AX,33.0,5.0333333015441895,4.0,3.0,349.5,155.0,135.5,145.0,17.899999618530273,6285.6357421875
1989,seat,malaga,46.5,7.099999904632568,5.0,4.0,427.5,165.0,140.0,150.0,17.0,8179.3701171875
1989,nissan,laurel,94.0,12.0,5.0,4.0,465.0,169.0,142.0,190.0,10.399999618530273,13506.0654296875
1989,honda,legend,124.0,10.133333206176758,5.0,4.0,469.0,169.5,139.0,213.0,8.800000190734863,22305.619140625
1989,mercedes,200,80.0,8.633333206176758,5.0,4.0,474.0,174.0,144.5,185.0,13.0,18800.201171875
1989,VW,golf,40.0,7.066666603088379,5.0,3.0,398.5,166.5,141.5,151.0,16.5,7090.93505859375
1989,fiat,regatta,50.0,6.933333396911621,5.0,4.0,426.0,165.0,142.0,155.0,13.5,7469.94677734375
1989,mercedes,190,77.0,8.733333587646484,5.0,4.0,445.0,169.0,139.0,183.0,12.800000190734863,16569.244140625
1989,opel,corsa,33.0,6.233333110809326,5.0,3.0,362.0,153.0,136.5,143.0,19.5,6472.0634765625
1989,peugeot,405,47.0,6.900000095367432,5.0,4.0,441.0,171.5,140.5,165.0,15.5,8604.9775390625
1989,rover,200,53.5,6.733333587646484,5.0,5.0,415.5,162.5,138.0,155.0,11.699999809265137,8221.8544921875
1989,citroen,BX,53.0,7.166666507720947,5.0,5.0,424.0,168.0,136.0,167.0,13.100000381469727,8558.0380859375
1989,nissan,maxima,125.0,9.466667175292969,5.0,4.0,476.5,176.0,139.5,225.0,,26044.998046875
1989,rover,montego,61.0,7.0,5.0,4.0,447.0,171.0,142.0,165.0,10.899999618530273,8422.390625
1989,alfa romeo,75,88.5,8.766666412353516,5.0,4.0,433.0,163.0,140.0,190.0,10.399999618530273,11028.6318359375
1989,fiat,panda,25.0,5.599999904632568,5.0,3.0,341.0,149.5,142.0,125.0,23.0,4060.843505859375
1989,ford,scorpio,77.0,8.233333587646484,5.0,4.0,467.0,176.0,144.0,188.0,11.5,15701.4931640625
1989,saab,900,81.0,10.333333015441895,5.0,3.0,468.0,169.0,142.0,170.0,13.0,14859.1875
1989,nissan,bluebird,62.0,8.433333396911621,5.0,4.0,436.0,169.0,139.0,165.0,,7981.3125
1989,VW,golf,40.0,7.066666603088379,5.0,3.0,398.5,166.5,141.5,151.0,16.5,7069.35693359375
1989,fiat,duna,43.0,6.800000190734863,5.0,4.0,403.5,155.5,143.0,150.0,16.0,6750.2734375
1989,seat,malaga,44.0,7.099999904632568,5.0,4.0,427.5,165.0,140.0,150.0,17.0,6966.5595703125
1989,volvo,740-760,89.0,9.100000381469727,5.0,4.0,478.5,175.0,141.0,178.0,12.5,16621.03515625
1989,alfa romeo,75,81.0,9.366666793823242,5.0,4.0,433.0,163.0,140.0,180.0,10.699999809265137,10566.828125
1989,nissan,bluebird,62.0,8.433333396911621,5.0,4.0,440.5,169.0,142.0,165.0,,12997.6943359375
1989,nissan,micra,37.0,6.0,4.0,3.0,364.0,156.0,139.5,142.0,15.899999618530273,6926.7958984375
1989,mercedes,190,77.0,8.733333587646484,5.0,4.0,445.0,169.0,139.0,183.0,12.800000190734863,16487.28125
1989,renault,5,30.0,6.0333333015441895,5.0,3.0,359.0,159.0,139.0,137.0,16.0,5728.49560546875
