year,brand,model,horsepower,consumption,places,doors,length,width,height,speed,acceleration,price_eur
1997,lancia,delta,76.0,7.633333206176758,5.0,3.0,401.0,170.5,140.0,190.0,11.0,11291.65234375
1997,rover,800,100.0,8.233333587646484,5.0,4.0,488.0,173.0,139.0,201.0,10.199999809265137,22694.75
1997,VW,passat,74.0,9.59999942779541,5.0,5.0,467.5,174.0,146.0,192.0,12.300000190734863,15684.6396484375
1997,mazda,121,44.0,6.433333396911621,5.0,3.0,383.0,163.5,133.0,155.0,15.899999618530273,6652.70068359375
1997,daewoo,nexia,55.0,6.900000095367432,5.0,3.0,426.0,166.0,139.0,163.0,12.5,6827.22119140625
1997,volvo,S90/V90,132.0,11.666666984558105,4.0,4.0,487.0,175.0,141.0,210.0,9.699999809265137,26201.4140625
1997,suzuki,swift,39.0,6.166666507720947,5.0,3.0,374.5,159.0,135.0,145.0,,6578.10791015625
1997,toyota,carina2,78.0,6.5333333015441895,5.0,4.0,445.0,169.5,141.0,185.0,11.899999618530273,12294.1396484375
1997,volvo,S70/V70,93.0,11.633333206176758,5.0,4.0,472.0,176.0,140.0,195.0,11.699999809265137,22557.3515625
1997,honda,civic,55.0,6.633333206176758,5.0,3.0,419.0,169.5,138.0,165.0,13.899999618530273,8068.16845703125
1997,toyota,camry,96.0,8.333333015441895,5.0,4.0,476.5,178.5,143.0,200.0,10.399999618530273,23391.20703125
1997,lancia,dedra,66.0,7.3333330154418945,5.0,5.0,434.5,170.0,143.0,180.0,13.399999618530273,13074.013671875
1997,ford,escort,55.0,7.9666666984558105,5.0,3.0,414.0,170.0,140.0,169.0,14.399999618530273,9500.9052734375
1997,lancia,Y10,40.0,6.433333396911621,5.0,3.0,373.5,169.0,143.0,160.0,13.300000190734863,7200.29345703125
1997,daewoo,espero,66.0,7.5,5.0,4.0,461.5,172.0,138.0,170.0,12.800000190734863,10557.943359375
1997,citroen,saxo,44.0,6.266666889190674,5.0,3.0,372.0,159.5,138.0,162.0,15.300000190734863,9617.9384765625
1997,mazda,323,55.0,7.366666793823242,5.0,3.0,403.5,169.5,140.0,164.0,13.300000190734863,8068.16845703125
1997,suzuki,baleno,63.0,7.5,5.0,3.0,387.0,169.0,139.0,170.0,,7200.29345703125
1997,suzuki,swift,39.0,6.166666507720947,5.0,3.0,374.5,159.0,135.0,145.0,,6046.0712890625
1997,mazda,323,55.0,7.366666793823242,5.0,3.0,403.5,169.5,140.0,164.0,13.300000190734863,9563.083984375
1997,VW,polo,37.0,6.766666412353516,5.0,3.0,371.5,165.5,142.0,151.0,18.5,7711.97119140625
1997,rover,800,129.0,8.433333396911621,5.0,4.0,488.0,173.0,139.0,217.0,8.699999809265137,26031.30078125
1997,hyundai,pony,44.0,6.166666507720947,5.0,3.0,410.0,162.0,139.0,175.0,12.800000190734863,7932.12548828125
1997,toyota,carina2,73.0,6.5333333015441895,5.0,5.0,445.0,169.5,141.0,185.0,11.899999618530273,13374.7578125
1997,toyota,starlet,55.0,7.733333587646484,5.0,3.0,374.0,162.5,140.0,170.0,11.199999809265137,6854.91015625
1997,subaru,vivio,32.0,7.066666603088379,4.0,5.0,330.0,140.0,138.0,138.0,16.0,8276.7802734375
1997,citroen,xantia,74.0,8.333333015441895,5.0,5.0,444.5,175.5,138.0,179.0,16.0,12560.09765625
1997,mitsubishi,colt,55.0,6.4666666984558105,5.0,3.0,387.0,168.0,137.0,170.0,12.5,9937.0859375
1997,renault,mégane,55.0,7.0333333015441895,5.0,5.0,413.0,170.0,142.0,170.0,14.300000190734863,13471.0869140625
1997,toyota,corolla,63.0,6.666666507720947,5.0,3.0,409.5,168.5,138.0,170.0,12.800000190734863,9720.6513671875
1997,hyundai,lantra,84.0,9.533333778381348,5.0,4.0,442.0,170.0,139.0,193.0,11.199999809265137,10110.28515625
1997,rover,100,44.0,7.1666669845581055,5.0,3.0,357.0,156.0,138.0,154.0,14.800000190734863,7004.0498046875
1997,audi,A3,74.0,8.966667175292969,5.0,3.0,415.0,173.5,142.0,188.0,11.300000190734863,19875.080078125
1997,mazda,121,44.0,6.433333396911621,5.0,3.0,383.0,163.5,133.0,155.0,15.899999618530273,7647.97998046875
1997,VW,vento,66.0,9.466667175292969,5.0,4.0,438.0,169.5,143.0,178.0,12.699999809265137,13182.6162109375
1997,audi,A4,74.0,9.766666412353516,5.0,4.0,448.0,173.5,141.0,191.0,11.899999618530273,16750.94140625
1997,rover,400,76.0,6.8333330154418945,5.0,5.0,449.0,170.0,139.0,185.0,11.800000190734863,10715.09375
1997,nissan,almera,64.0,6.599999904632568,5.0,3.0,412.0,169.0,139.0,172.0,12.600000381469727,8692.58203125
1997,lancia,delta,76.0,7.633333206176758,5.0,3.0,401.0,170.5,140.0,190.0,11.0,10876.9111328125
1997,mazda,323,54.0,7.366666793823242,5.0,3.0,403.5,169.5,140.0,164.0,13.300000190734863,9770.005859375
1997,suzuki,alto,40.0,6.4666666984558105,4.0,3.0,349.5,149.5,140.0,150.0,15.5,5856.171875
1997,mitsubishi,lancer,55.0,6.4666666984558105,5.0,4.0,387.0,168.0,137.0,170.0,12.5,11566.1162109375
1997,rover,800,100.0,8.233333587646484,5.0,4.0,488.0,173.0,139.0,201.0,10.199999809265137,21029.8125
1997,audi,A8,142.0,12.033332824707031,5.0,4.0,503.0,188.0,144.0,236.0,8.399999618530273,39670.01171875
1997,audi,A6,110.0,9.333333015441895,5.0,5.0,479.5,181.0,145.0,217.0,9.399999618530273,22555.806640625
