year,brand,model,horsepower,consumption,places,doors,length,width,height,speed,acceleration,price_eur
1999,VW,polo,37.0,6.766666412353516,5.0,3.0,371.5,165.5,142.0,151.0,18.5,8141.69921875
1999,nissan,micra,40.0,6.5,5.0,3.0,372.0,158.5,142.0,150.0,16.399999618530273,6407.36962890625
1999,renault,clio,43.0,7.0,5.0,5.0,377.5,164.0,142.0,160.0,15.0,7534.98583984375
1999,daewoo,nubira,77.0,10.399999618530273,5.0,5.0,425.0,170.0,142.0,185.0,11.0,14455.6943359375
1999,seat,toledo,74.0,9.033333778381348,5.0,4.0,444.0,174.0,144.0,188.0,11.5,12290.833984375
1999,peugeot,306,55.0,8.399999618530273,5.0,3.0,403.0,168.0,137.0,170.0,14.699999809265137,9746.5537109375
1999,daewoo,lanos,54.0,9.566666603088379,5.0,3.0,407.5,168.0,143.0,170.0,15.0,9453.8466796875
1999,VW,golf,55.0,7.366666316986084,5.0,3.0,415.0,173.5,144.0,171.0,13.899999618530273,10529.4091796875
1999,volvo,S80,103.0,8.600000381469727,5.0,4.0,482.0,183.0,145.0,205.0,11.0,27119.947265625
1999,seat,cordoba,44.0,7.633333683013916,5.0,4.0,414.5,164.0,142.0,157.0,15.699999809265137,8280.5625
1999,rover,75,87.0,9.233333587646484,5.0,4.0,474.5,178.0,143.0,195.0,11.600000381469727,21615.548828125
1999,toyota,yaris,49.0,7.0,5.0,3.0,361.0,166.0,150.0,156.0,12.0,8862.611328125
1999,citroen,xsara,55.0,8.399999618530273,5.0,3.0,417.0,170.0,140.0,175.0,14.100000381469727,14071.3916015625
1999,nissan,primera,74.0,8.066666603088379,5.0,4.0,443.0,171.5,141.0,180.0,12.0,13071.5009765625
1999,VW,passat,74.0,9.566666603088379,5.0,4.0,467.5,174.0,146.0,192.0,12.5,14795.97265625
1999,opel,corsa,40.0,6.4666666984558105,5.0,3.0,374.0,161.0,142.0,150.0,18.0,6646.625
1999,lancia,Y10,40.0,7.5,5.0,3.0,372.5,169.0,144.0,150.0,15.0,6862.5380859375
