year,brand,model,horsepower,consumption,places,doors,length,width,height,speed,acceleration,price_eur
1994,rover,mini,39.0,7.233333110809326,4.0,2.0,305.0,141.0,135.0,140.0,14.600000381469727,6865.41845703125
1994,volvo,940-960,82.0,10.133333206176758,5.0,4.0,487.0,175.0,141.0,173.0,12.5,17740.77734375
1994,peugeot,405,65.0,7.800000190734863,5.0,4.0,441.0,169.5,141.0,175.0,14.300000190734863,12809.654296875
1994,fiat,tipo,51.0,7.199999809265137,5.0,3.0,396.0,170.0,144.0,161.0,15.5,8762.6767578125
1994,saab,9000,96.0,9.233333587646484,5.0,5.0,478.0,176.5,142.0,200.0,11.5,20400.720703125
1994,fiat,uno,33.0,5.900000095367432,5.0,3.0,369.0,156.0,142.0,145.0,17.700000762939453,6908.87060546875
1994,opel,vectra,55.0,7.066666603088379,5.0,4.0,443.0,170.5,140.0,176.0,14.0,11602.4619140625
1994,opel,omega,100.0,8.466667175292969,5.0,4.0,479.0,178.5,145.5,210.0,11.0,18828.455078125
1994,suzuki,swift,49.0,5.799999713897705,4.0,3.0,409.5,158.0,138.0,165.0,,8922.908203125
1994,VW,polo,33.0,6.366666793823242,4.0,3.0,376.5,157.0,135.0,145.0,20.5,7088.2802734375
1994,fiat,panda,33.0,5.9666666984558105,5.0,3.0,341.0,149.5,142.0,140.0,17.100000381469727,6134.2333984375
1994,BMW,3,75.0,7.433333396911621,5.0,3.0,421.0,170.0,139.5,188.0,12.300000190734863,12896.771484375
1994,seat,cordoba,44.0,6.933333396911621,5.0,4.0,411.0,164.0,141.5,157.0,16.100000381469727,8046.40771484375
1994,renault,laguna,69.0,8.5,5.0,5.0,451.0,175.0,143.5,180.0,13.899999618530273,11909.3759765625
1994,rover,100,44.0,6.099999904632568,5.0,3.0,352.0,156.0,137.5,151.0,14.800000190734863,6276.74169921875
1994,citroen,xantia,65.0,7.933333396911621,5.0,5.0,444.5,175.5,138.5,175.0,15.199999809265137,12346.1962890625
1994,toyota,corolla,65.0,6.666666507720947,5.0,5.0,409.5,168.5,138.0,175.0,11.5,10454.896484375
1994,peugeot,605,97.0,9.466667175292969,5.0,4.0,472.0,180.0,142.0,199.0,12.100000381469727,17658.8984375
1994,alfa romeo,155,85.0,8.066666603088379,5.0,4.0,444.5,170.0,144.0,191.0,10.800000190734863,14382.6171875
1994,opel,omega,100.0,8.466667175292969,5.0,4.0,479.0,178.5,145.5,210.0,11.0,16932.966796875
1994,BMW,5,85.0,8.133333206176758,5.0,4.0,472.0,175.0,141.0,198.0,12.300000190734863,19141.615234375
1994,mazda,323,54.0,6.933333396911621,5.0,3.0,399.5,167.5,138.0,168.0,12.0,10439.1640625
1994,mitsubishi,lancer,55.0,6.933333396911621,5.0,4.0,395.5,169.0,136.5,170.0,12.5,10559.1416015625
1994,kia,sephia,59.0,7.266666889190674,4.0,4.0,428.0,169.0,139.0,165.0,11.199999809265137,8029.0849609375
1994,BMW,5,83.0,8.133333206176758,5.0,4.0,472.0,175.0,141.0,198.0,12.300000190734863,20866.533203125
1994,volvo,850,103.0,8.699999809265137,5.0,4.0,466.0,176.0,142.0,215.0,8.899999618530273,19937.25390625
1994,honda,accord,85.0,7.566666603088379,5.0,4.0,467.5,171.5,138.0,197.0,10.800000190734863,13373.146484375
1994,honda,concerto,66.0,7.933333396911621,5.0,5.0,426.5,169.0,139.5,170.0,,8639.7109375
1994,renault,nevada,69.0,8.266666412353516,5.0,5.0,469.5,172.5,142.5,179.0,11.5,12450.7119140625
1994,saab,9000,96.0,9.233333587646484,5.0,4.0,478.0,176.5,142.0,200.0,11.5,20569.541015625
1994,ford,scorpio,87.0,7.799999713897705,5.0,4.0,467.0,176.0,149.0,192.0,11.399999618530273,17212.296875
1994,opel,vectra,55.0,7.066666603088379,5.0,4.0,443.0,170.5,140.0,176.0,14.0,11926.1533203125
1994,mercedes,C,90.0,8.5,5.0,4.0,448.5,172.0,141.5,193.0,12.199999809265137,19654.443359375
1994,innocenti,elba,49.0,7.266666412353516,5.0,3.0,364.5,155.0,144.5,160.0,15.899999618530273,6533.26708984375
1994,BMW,5,85.0,8.133333206176758,5.0,4.0,472.0,175.0,141.0,198.0,12.300000190734863,20656.1875
1994,opel,corsa,33.0,5.933333396911621,5.0,3.0,373.0,161.0,143.5,145.0,20.5,7990.82568359375
1994,mitsubishi,lancer,82.0,7.233333110809326,5.0,4.0,395.5,169.0,136.5,190.0,9.800000190734863,14118.0009765625
1994,nissan,micra,40.0,5.833333492279053,5.0,3.0,370.0,159.0,143.0,150.0,16.399999618530273,6927.35107421875
1994,alfa romeo,164,106.0,8.166666984558105,5.0,4.0,455.5,176.0,139.0,210.0,9.899999618530273,18102.251953125
1994,fiat,uno,33.0,5.900000095367432,5.0,3.0,369.0,156.0,142.0,145.0,17.700000762939453,6819.9560546875
1994,mazda,626,77.0,7.599999904632568,5.0,5.0,469.5,175.0,140.0,191.0,11.899999618530273,13416.306640625
1994,VW,polo,33.0,6.366666793823242,4.0,3.0,376.5,157.0,135.0,145.0,20.5,6819.9560546875
1994,hyundai,pony,43.0,7.833333492279053,5.0,3.0,410.0,160.5,136.0,150.0,13.399999618530273,6322.7958984375
1994,fiat,tempra,56.0,7.866666793823242,5.0,4.0,447.0,169.5,150.0,170.0,13.800000190734863,12628.365234375
1994,fiat,uno,33.0,5.900000095367432,5.0,3.0,369.0,156.0,142.0,145.0,17.700000762939453,5911.48046875
1994,citroen,XM,97.0,9.466667175292969,5.0,5.0,496.5,179.5,146.5,201.0,11.899999618530273,19105.126953125
1994,fiat,panda,33.0,5.9666666984558105,5.0,3.0,341.0,149.5,142.0,140.0,17.100000381469727,5644.4169921875
1994,saab,900,98.0,8.366666793823242,5.0,3.0,463.5,171.0,143.5,200.0,11.5,17315.62890625
1994,rover,800,100.0,9.066666603088379,5.0,4.0,488.0,173.0,139.0,202.0,10.199999809265137,19901.0234375
1994,ford,mondeo,65.0,7.566666603088379,5.0,4.0,448.0,175.0,143.0,180.0,13.699999809265137,12455.0419921875
1994,fiat,tipo,52.0,7.199999809265137,5.0,3.0,396.0,170.0,144.0,161.0,15.5,9327.52734375
1994,skoda,favorit,40.0,7.133333206176758,5.0,5.0,381.5,162.0,142.0,137.0,17.0,5770.07666015625
1994,mitsubishi,galant,93.0,7.5,5.0,4.0,462.0,173.0,140.0,200.0,10.0,12671.138671875
1994,audi,80/90,66.0,8.666666984558105,5.0,4.0,448.0,169.5,141.0,177.0,13.600000381469727,15555.8212890625
1994,seat,marbella,30.0,6.633333206176758,5.0,3.0,347.5,150.0,144.5,135.0,19.200000762939453,4767.78759765625
1994,alfa romeo,155,85.0,8.066666603088379,5.0,4.0,444.5,170.0,144.0,191.0,10.800000190734863,12039.296875
1994,rover,600,96.0,8.766666412353516,5.0,4.0,464.5,171.5,138.0,201.0,10.199999809265137,19618.5859375
1994,hyundai,sonata,102.0,7.866666793823242,5.0,4.0,470.0,177.0,140.5,200.0,10.199999809265137,14204.6376953125
1994,mercedes,E,100.0,8.633333206176758,5.0,4.0,474.0,174.0,143.0,200.0,11.5,23099.47265625
1994,peugeot,405,65.0,7.800000190734863,5.0,4.0,441.0,169.5,141.0,175.0,14.300000190734863,12766.8515625
1994,citroen,XM,89.0,9.466667175292969,5.0,5.0,496.5,179.5,146.5,201.0,11.899999618530273,18957.02734375
1994,mercedes,C,90.0,8.5,5.0,4.0,448.5,172.0,141.5,193.0,12.199999809265137,19159.763671875
1994,toyota,carina2,85.0,7.166666507720947,5.0,4.0,445.0,169.5,141.0,195.0,11.399999618530273,12864.150390625
1994,peugeot,405,65.0,7.800000190734863,5.0,4.0,441.0,169.5,141.0,175.0,14.300000190734863,12249.15625
1994,seat,toledo,53.0,7.400000095367432,5.0,5.0,432.0,166.0,144.5,170.0,13.300000190734863,10440.2294921875
1994,peugeot,605,89.0,9.466667175292969,5.0,4.0,472.0,180.0,142.0,199.0,12.100000381469727,18957.02734375
1994,daihatsu,charade,62.0,6.400000095367432,4.0,3.0,375.0,162.0,139.0,170.0,11.0,8422.458984375
1994,honda,civic,66.0,5.933333396911621,5.0,3.0,439.5,170.0,131.5,180.0,9.699999809265137,11931.029296875
1994,peugeot,605,97.0,9.466667175292969,5.0,4.0,472.0,180.0,142.0,199.0,12.100000381469727,18139.0625
1994,seat,marbella,30.0,6.633333206176758,5.0,3.0,347.5,150.0,144.5,135.0,19.200000762939453,5329.25537109375
1994,daihatsu,charade,62.0,6.400000095367432,4.0,3.0,375.0,162.0,139.0,170.0,11.0,8820.7587890625
1994,daihatsu,applause,77.0,7.0,5.0,5.0,426.0,166.0,137.5,185.0,9.800000190734863,10558.83984375
1994,opel,astra,44.0,6.766666889190674,5.0,3.0,405.0,169.0,141.0,160.0,16.0,8488.1376953125
1994,ford,escort,44.0,6.866666793823242,5.0,3.0,427.0,169.0,141.0,153.0,17.700000762939453,9651.828125
1994,rover,100,44.0,6.099999904632568,5.0,3.0,352.0,156.0,137.5,151.0,14.800000190734863,7538.9248046875
1994,citroen,ZX,44.0,6.566666603088379,5.0,3.0,426.0,170.0,145.0,161.0,16.799999237060547,8850.83984375
1994,ford,scorpio,90.0,7.799999713897705,5.0,5.0,467.0,176.0,149.0,192.0,11.399999618530273,16452.458984375
