year,brand,model,horsepower,consumption,places,doors,length,width,height,speed,acceleration,price_eur
1987,mercedes,190,77.0,8.0,5.0,4.0,442.0,168.0,139.0,183.0,12.800000190734863,16296.8896484375
1987,fiat,croma,85.0,7.599999904632568,5.0,5.0,449.5,176.0,143.5,192.0,9.899999618530273,10718.1689453125
1987,rover,800,103.0,8.433333396911621,5.0,4.0,469.5,173.0,140.0,203.0,8.800000190734863,13904.0078125
1987,saab,900,87.0,9.766666412353516,5.0,2.0,474.0,169.0,143.0,175.0,12.0,12670.15625
1987,citroen,BX,46.0,6.933333396911621,5.0,5.0,423.0,166.0,136.0,155.0,15.600000381469727,8494.427734375
1987,mazda,929,85.0,11.5,5.5,4.0,469.0,169.5,143.5,190.0,12.0,11366.4453125
1987,alfa romeo,6,97.0,11.899999618530273,5.0,4.0,468.0,168.5,139.5,180.0,,16805.255859375
1987,rover,mini,31.0,5.766666412353516,4.0,2.0,305.0,141.0,135.0,132.0,18.5,4951.8505859375
1987,citroen,visa,25.0,5.833333492279053,4.5,5.0,372.0,153.0,140.0,125.0,26.200000762939453,5805.17236328125
1987,seat,ibiza,32.5,6.933333396911621,5.0,3.0,364.0,161.0,139.5,130.0,,5614.47802734375
1987,seat,marbella,25.0,6.366666793823242,5.0,3.0,347.5,146.0,144.5,130.0,20.200000762939453,4351.04150390625
1987,renault,5,34.5,5.4666666984558105,5.0,3.0,359.0,158.5,139.0,143.0,16.0,4695.90966796875
1987,nissan,laurel,94.0,10.5,5.0,4.0,465.0,169.0,141.5,200.0,,13348.0556640625
1987,fiat,regatta,55.0,7.333333492279053,5.0,4.0,426.0,165.0,141.0,160.0,12.399999618530273,8881.3857421875
1987,rover,800,88.5,11.0,4.5,4.0,469.5,173.0,140.0,195.0,11.0,14523.6689453125
1987,mercedes,200,80.0,8.233333587646484,5.0,4.0,474.0,174.0,144.5,185.0,13.0,19623.29296875
1987,alfa romeo,75,88.5,9.466666221618652,5.0,4.0,433.0,163.0,140.0,190.0,9.5,11586.6728515625
1987,saab,9000,95.5,8.566666603088379,5.0,5.0,462.0,176.5,142.0,190.0,10.5,17723.306640625
1987,mercedes,190,77.0,8.0,4.0,4.0,442.0,168.0,139.0,183.0,12.800000190734863,16048.1826171875
1987,peugeot,205,32.0,6.400000095367432,5.0,3.0,370.5,156.0,137.5,134.0,18.799999237060547,5403.650390625
1987,citroen,CX,78.0,9.399999618530273,5.0,4.0,465.0,177.0,136.0,177.0,12.100000381469727,11920.6435546875
1987,lancia,Y10,33.0,5.4666666984558105,5.0,3.0,339.0,151.0,144.0,145.0,16.0,5653.04931640625
1987,peugeot,305,54.5,7.300000190734863,4.0,4.0,426.0,163.0,141.0,155.0,13.199999809265137,8533.9619140625
1987,audi,80/90,55.0,7.766666889190674,5.0,4.0,439.5,169.5,139.5,170.0,13.800000190734863,11114.423828125
1987,lancia,prisma,59.0,7.266666889190674,5.0,4.0,418.0,162.0,138.5,166.0,12.100000381469727,9123.85546875
1987,peugeot,505,79.0,8.899999618530273,5.0,5.0,490.0,173.0,154.0,175.0,12.199999809265137,12785.009765625
1987,peugeot,405,47.0,7.0,5.0,4.0,441.0,169.5,140.5,160.0,16.5,8313.3076171875
1987,rover,montego,48.5,6.800000190734863,5.0,4.0,446.5,171.0,142.0,154.0,14.0,8440.8056640625
1987,mitsubishi,lancer,55.0,6.899999618530273,5.0,4.0,412.5,163.5,136.0,153.0,13.699999809265137,9263.7109375
1987,audi,100/200,66.0,7.233333110809326,5.0,4.0,479.0,181.5,142.0,176.0,12.0,13386.2880859375
1987,rover,montego,48.5,6.800000190734863,5.0,4.0,446.5,171.0,142.0,154.0,14.0,7398.63623046875
1987,saab,900,87.0,9.766666412353516,5.0,2.0,474.0,169.0,143.0,175.0,12.0,14894.33984375
1987,rover,metro,35.0,6.0,5.0,3.0,340.5,155.0,137.0,140.0,18.5,5505.91064453125
1987,nissan,micra,37.0,5.9666666984558105,4.0,3.0,364.0,156.0,139.5,145.0,15.899999618530273,5831.03076171875
1987,peugeot,309,40.5,6.5333333015441895,4.0,3.0,405.0,163.0,138.0,153.0,16.5,6915.1220703125
1987,audi,80/90,66.0,7.433333396911621,5.0,4.0,439.5,169.5,139.5,180.0,11.5,11704.46875
1987,peugeot,309,40.5,6.5333333015441895,5.0,3.0,405.0,163.0,138.0,153.0,16.5,6446.97021484375
1987,audi,100/200,55.0,6.700000286102295,5.0,4.0,479.0,181.5,142.0,165.0,14.899999618530273,11437.755859375
1987,peugeot,205,32.0,6.400000095367432,4.0,3.0,370.5,156.0,137.5,134.0,18.799999237060547,5895.380859375
1987,rover,mini,32.0,5.766666412353516,4.0,2.0,305.0,141.0,135.0,132.0,18.5,4700.60400390625
1987,citroen,BX,46.0,6.933333396911621,5.0,5.0,423.0,166.0,136.0,155.0,15.600000381469727,7460.68408203125
1987,ford,scorpio,66.0,7.933333396911621,5.0,4.0,467.0,176.0,144.0,179.0,13.100000381469727,12637.146484375
1987,renault,11,44.0,6.900000095367432,5.0,4.0,404.5,166.5,141.0,162.0,13.0,6590.8095703125
1987,BMW,3,66.0,7.800000190734863,5.0,2.0,432.5,164.5,138.0,175.0,12.199999809265137,10807.30078125
1987,renault,9,44.0,6.9666666984558105,5.0,4.0,413.0,166.5,141.0,162.0,13.100000381469727,6590.8095703125
1987,citroen,AX,33.0,5.0333333015441895,5.0,3.0,350.0,156.0,135.0,145.0,17.899999618530273,5607.3037109375
1987,citroen,2CV6,21.5,6.099999904632568,4.0,5.0,383.0,148.0,160.0,115.0,33.5,4115.931640625
1987,rover,metro,34.5,6.0,5.0,3.0,340.5,155.0,137.0,140.0,18.5,4904.748046875
1987,mazda,323,40.5,7.5,5.0,3.0,399.0,164.5,139.0,140.0,,5536.12255859375
1987,renault,5,35.0,5.4666666984558105,5.0,3.0,359.0,158.5,139.0,143.0,16.0,5672.26123046875
1987,alfa romeo,90,115.0,9.699999809265137,5.0,4.0,439.0,164.0,142.0,200.0,8.399999618530273,16190.1669921875
1987,citroen,visa,33.0,6.633333206176758,4.5,5.0,372.0,153.0,140.0,133.0,19.799999237060547,5602.205078125
