year,brand,model,horsepower,consumption,places,doors,length,width,height,speed,acceleration,price_eur
1977,VW,polo,29.5,7.5,5.0,3.0,350.0,156.0,134.5,132.0,21.700000762939453,3158.809814453125
1977,fiat,126,17.0,5.400000095367432,4.0,2.0,305.5,137.5,133.5,105.0,50.0,2231.6591796875
1977,mercedes,200,69.0,12.0,5.0,4.0,472.5,178.5,144.0,160.0,15.199999809265137,8682.609375
1977,nissan,cherry,33.0,9.0,5.0,4.0,384.0,150.0,134.5,140.0,,3309.372802734375
1977,renault,5,26.0,6.300000190734863,4.0,2.0,350.5,152.5,140.0,123.0,,3245.03369140625
1977,renault,20,71.0,9.066666603088379,5.0,4.0,452.0,172.5,143.5,164.0,,5959.16357421875
1977,citroen,GSA,41.0,7.9666666984558105,5.0,4.0,412.0,161.0,135.0,149.0,17.0,4252.10693359375
1977,fiat,127,29.0,6.900000095367432,5.0,2.0,364.5,152.5,136.0,135.0,19.0,3051.30029296875
1977,nissan,sunny,38.0,10.0,5.0,4.0,394.0,158.0,137.0,150.0,,4095.00927734375
1977,lancia,a112,31.0,6.300000190734863,5.0,3.0,320.0,148.0,136.0,135.0,,2903.53076171875
1977,fiat,128,33.0,7.599999904632568,5.0,4.0,384.0,159.0,142.0,140.0,17.5,3252.48486328125
1977,renault,12,40.0,9.0,5.0,4.0,435.0,162.0,143.5,140.0,17.0,3627.242431640625
1977,citroen,CX,78.0,8.199999809265137,5.0,4.0,466.0,173.0,136.0,174.0,12.800000190734863,6084.91162109375
1977,VW,polo,29.5,7.5,5.0,3.0,350.0,156.0,134.5,132.0,21.700000762939453,3311.2822265625
1977,alfa romeo,sud,46.0,7.199999809265137,5.0,4.0,389.0,159.0,137.0,150.0,13.600000381469727,4052.78466796875
1977,rover,princess,60.0,10.899999618530273,5.0,4.0,445.5,173.0,141.0,158.0,15.5,5687.8037109375
1977,rover,allegro,35.5,7.400000095367432,5.0,2.0,385.0,161.5,139.0,126.0,22.0,3322.613037109375
1977,lancia,gamma,88.0,9.600000381469727,5.0,4.0,458.0,173.0,141.0,195.0,11.199999809265137,9678.435546875
1977,rover,marina,42.0,9.5,5.0,4.0,429.0,165.5,142.0,138.0,17.5,3673.464111328125
1977,renault,12,37.0,9.0,5.0,4.0,435.0,162.0,143.5,140.0,17.0,4020.02978515625
1977,citroen,LNA,23.5,5.900000095367432,4.0,3.0,338.0,122.0,137.0,120.0,29.299999237060547,3309.521484375
1977,peugeot,304,48.0,8.133333206176758,5.0,4.0,414.0,157.0,141.0,150.0,17.100000381469727,4135.4619140625
1977,lancia,beta,60.0,8.800000190734863,5.0,4.0,429.5,170.5,140.0,160.0,14.5,6023.2099609375
1977,fiat,131F,40.0,8.899999618530273,5.0,4.0,426.5,165.0,140.0,150.0,16.200000762939453,3811.3310546875
1977,toyota,cressida,65.5,12.0,5.0,4.0,435.0,168.0,141.5,155.0,,5213.9892578125
1977,rover,princess,60.0,10.899999618530273,5.0,4.0,445.5,173.0,141.0,158.0,15.5,5417.25341796875
1977,honda,accord,59.0,11.5,5.0,4.0,410.5,162.0,134.0,147.0,,4682.50634765625
1977,fiat,argenta,66.0,9.800000190734863,5.0,4.0,439.0,164.0,143.5,165.0,11.800000190734863,5212.17236328125
1977,rover,mini,33.0,7.199999809265137,4.0,2.0,305.0,141.0,135.0,126.0,22.700000762939453,3097.485595703125
1977,nissan,cherry,33.0,9.0,5.0,4.0,384.0,150.0,134.5,140.0,,3742.41259765625
1977,nissan,cedric,87.0,12.5,6.0,4.0,478.5,170.5,144.0,165.0,,7738.93359375
1977,renault,4,25.0,6.5,4.0,5.0,367.0,148.5,155.0,110.0,,2686.1875
1977,tal/simca,1000,29.0,8.533332824707031,5.0,4.0,381.0,148.5,136.5,133.0,21.700000762939453,2402.722412109375
1977,opel,commodor,115.0,12.5,5.0,4.0,465.0,173.0,142.0,180.0,12.0,9061.5849609375
1977,citroen,dyane,24.0,6.099999904632568,4.0,5.0,387.0,150.0,154.0,120.0,,2865.018310546875
1977,nissan,violet,59.5,8.0,5.0,4.0,408.0,160.0,139.0,145.0,,4236.84033203125
1977,renault,16,48.5,9.199999809265137,5.0,4.0,423.5,163.0,145.0,148.0,,4902.14404296875
1977,tal/simca,1000,29.0,8.533332824707031,5.0,4.0,381.0,148.5,136.5,133.0,21.700000762939453,2823.0546875
1977,alfa romeo,GTV,84.5,10.0,5.0,4.0,428.0,162.0,143.0,180.0,,6477.94091796875
1977,renault,12,37.0,9.0,5.0,4.0,435.0,162.0,143.5,140.0,17.0,4172.71826171875
1977,BMW,5,66.0,9.800000190734863,5.0,4.0,462.0,169.0,142.5,160.0,13.899999618530273,6698.703125
1977,rover,mini,29.0,7.5,4.0,2.0,305.0,141.0,135.0,118.0,30.0,2678.736083984375
1977,fiat,argenta,82.5,9.800000190734863,5.0,4.0,439.0,164.0,143.5,170.0,11.0,5950.66650390625
1977,mitsubishi,galant,55.0,11.5,5.0,4.0,433.0,165.0,136.0,150.0,,4891.5986328125
1977,BMW,3,66.0,9.899999618530273,5.0,2.0,435.5,161.0,138.0,160.0,13.800000190734863,5581.0107421875
1977,rover,allegro,36.0,7.400000095367432,5.0,2.0,385.0,161.5,139.0,126.0,22.0,3176.611328125
1977,toyota,carina,58.0,10.5,5.0,4.0,421.0,163.0,139.0,150.0,,4796.71142578125
1977,rover,allegro,33.0,7.400000095367432,5.0,2.0,385.0,161.5,139.0,126.0,22.0,3200.325927734375
1977,rover,princess,60.0,10.899999618530273,5.0,4.0,445.5,173.0,141.0,158.0,15.5,5212.17236328125
1977,rover,3500,114.0,15.0,5.0,5.0,470.0,177.0,138.0,201.0,8.699999809265137,10178.052734375
1977,mercedes,200,69.0,12.0,5.0,4.0,472.5,178.5,144.0,160.0,15.199999809265137,9450.46484375
1977,mitsubishi,celeste,60.5,11.5,5.0,4.0,399.5,153.5,136.0,155.0,,4966.92333984375
1977,tal/matra,bagheera,62.0,7.900000095367432,3.0,2.0,401.0,173.5,122.0,185.0,,6426.7314453125
1977,audi,100/200,63.0,8.899999618530273,5.0,4.0,468.0,177.0,139.5,160.0,13.399999618530273,5571.69677734375
1977,renault,30,92.0,10.566666603088379,5.0,4.0,452.0,173.0,143.0,183.0,,8788.908203125
1977,toyota,corona,63.5,11.0,5.0,4.0,426.0,161.0,139.0,180.0,,5254.0400390625
1977,fiat,127,33.0,6.900000095367432,5.0,2.0,364.5,152.5,136.0,135.0,19.0,2809.61865234375
1977,VW,polo,29.5,7.5,5.0,3.0,350.0,156.0,134.5,132.0,21.700000762939453,3414.253173828125
1977,tal/simca,1307,40.0,9.09999942779541,5.0,4.0,424.5,168.0,139.0,152.0,16.700000762939453,4097.8330078125
1977,fiat,131F,48.0,8.899999618530273,5.0,4.0,426.5,165.0,140.0,150.0,16.200000762939453,3701.46533203125
1977,fiat,126,17.0,5.400000095367432,4.0,2.0,305.5,137.5,133.5,105.0,50.0,2256.968017578125
1977,citroen,2CV6,17.0,5.800000190734863,4.0,4.0,383.0,148.0,160.0,102.0,,2233.52197265625
1977,tal/simca,1307,50.0,9.09999942779541,5.0,4.0,424.5,168.0,139.0,152.0,16.700000762939453,4692.59423828125
1977,renault,14,42.0,8.066666603088379,5.0,5.0,402.5,162.5,140.5,143.0,,4452.1416015625
1977,citroen,dyane,23.5,6.099999904632568,4.0,5.0,387.0,150.0,154.0,120.0,,2853.938720703125
1977,ford,escort,32.5,8.0,5.0,4.0,398.0,159.5,138.5,127.0,28.399999618530273,3047.645263671875
1977,renault,30,92.0,10.566666603088379,5.0,4.0,452.0,173.0,143.0,183.0,,8177.78271484375
1977,VW,golf,37.0,8.300000190734863,5.0,5.0,370.5,161.0,141.0,140.0,16.5,3746.66015625
1977,rover,mini,25.0,7.5,4.0,2.0,305.0,141.0,135.0,118.0,30.0,2851.800537109375
1977,citroen,GSA,40.0,7.9666666984558105,5.0,4.0,412.0,161.0,135.0,149.0,17.0,3967.80810546875
1977,ford,fiesta,29.5,6.900000095367432,5.0,3.0,356.5,156.5,136.0,131.0,19.700000762939453,3184.736572265625
1977,renault,16,48.0,9.199999809265137,5.0,4.0,423.5,163.0,145.0,148.0,,4923.43505859375
1977,citroen,LNA,24.0,5.900000095367432,4.0,3.0,338.0,122.0,137.0,120.0,29.299999237060547,3051.30029296875
1977,opel,kadet,40.5,8.199999809265137,5.0,4.0,412.5,158.0,137.5,138.0,19.0,3514.138427734375
1977,mitsubishi,lancer,40.5,7.400000095367432,5.0,4.0,399.5,153.5,136.0,145.0,,3719.543212890625
1977,alfa romeo,GTV,80.0,9.199999809265137,5.0,4.0,424.0,162.0,143.0,175.0,,6649.4619140625
1977,citroen,CX,75.0,8.199999809265137,5.0,4.0,466.0,173.0,136.0,174.0,12.800000190734863,6687.5263671875
1977,toyota,starlet,34.5,7.300000190734863,5.0,3.0,368.0,152.5,138.0,140.0,,3026.74609375
1977,mitsubishi,galant,55.0,11.5,5.0,4.0,433.0,165.0,136.0,150.0,,4907.146484375
