year,brand,model,horsepower,consumption,places,doors,length,width,height,speed,acceleration,price_eur
1998,rover,600,83.0,8.233333587646484,5.0,4.0,465.0,172.0,138.0,198.0,10.800000190734863,19285.275390625
1998,rover,200,44.0,6.400000095367432,5.0,3.0,397.0,169.0,142.0,166.0,13.300000190734863,11964.8681640625
1998,nissan,almera,64.0,6.599999904632568,5.0,3.0,412.0,169.0,139.0,172.0,12.600000381469727,13865.7138671875
1998,toyota,camry,94.0,10.433333396911621,5.0,4.0,476.5,178.5,143.0,200.0,10.399999618530273,24635.94140625
1998,audi,A3,74.0,8.966667175292969,5.0,3.0,415.0,173.5,142.0,188.0,11.300000190734863,18276.4140625
1998,skoda,felicia,40.0,7.5333333015441895,5.0,5.0,388.5,163.5,142.0,145.0,15.5,8611.0146484375
1998,saab,9.5,109.0,11.433333396911621,5.0,4.0,481.0,179.0,145.0,215.0,10.0,27097.8125
1998,seat,ibiza,44.0,7.566666603088379,5.0,3.0,385.5,164.0,142.0,157.0,15.100000381469727,11066.734375
1998,peugeot,406,82.0,8.366666793823242,5.0,4.0,456.0,176.5,140.0,203.0,11.0,18590.14453125
1998,saab,9000,96.0,10.533333778381348,5.0,5.0,476.0,178.0,142.0,200.0,11.5,24329.591796875
1998,suzuki,baleno,71.0,7.6666669845581055,5.0,3.0,387.0,169.0,139.0,175.0,,11804.9267578125
1998,VW,polo,37.0,6.766666412353516,5.0,3.0,371.5,165.5,142.0,151.0,18.5,10199.3583984375
1998,rover,800,100.0,8.233333587646484,5.0,4.0,488.0,173.0,139.0,201.0,10.199999809265137,24268.07421875
1998,volvo,S70/V70,93.0,11.633333206176758,5.0,4.0,472.0,176.0,140.0,195.0,11.699999809265137,23443.759765625
1998,seat,arosa,37.0,6.566666603088379,4.0,3.0,354.0,164.0,146.0,151.0,17.399999618530273,8606.0927734375
1998,daihatsu,domino,30.0,6.0,4.0,3.0,331.0,139.5,143.0,135.0,17.600000381469727,5990.556640625
1998,ford,fiesta,44.0,7.766666412353516,5.0,3.0,383.0,163.5,133.0,155.0,15.899999618530273,7391.73779296875
1998,seat,toledo,74.0,9.233333587646484,5.0,5.0,432.0,166.0,142.0,188.0,11.300000190734863,15126.79296875
1998,renault,mégane,55.0,8.933333396911621,5.0,5.0,413.0,170.0,142.0,170.0,14.300000190734863,14394.751953125
1998,toyota,avensis,72.0,9.100000381469727,5.0,4.0,449.0,171.0,143.0,195.0,11.699999809265137,17249.095703125
1998,citroen,XM,97.0,11.466667175292969,5.0,5.0,471.0,179.5,139.0,205.0,10.800000190734863,18743.3359375
1998,audi,A6,110.0,9.333333015441895,5.0,4.0,479.5,181.0,145.0,217.0,9.399999618530273,28469.619140625
1998,alfa romeo,156,103.0,9.733333587646484,5.0,4.0,443.0,174.5,142.0,210.0,9.300000190734863,21651.18359375
1998,ford,mondeo,66.0,9.066666603088379,5.0,5.0,456.0,175.0,142.0,180.0,13.399999618530273,13382.294921875
1998,citroen,xantia,66.0,10.0,5.0,5.0,452.5,175.5,140.0,180.0,14.5,13301.06640625
1998,ford,escort,66.0,9.266666412353516,5.0,5.0,414.0,170.0,140.0,177.0,12.199999809265137,10661.16015625
1998,alfa romeo,GTV,106.0,11.533333778381348,4.0,2.0,428.5,178.0,132.0,215.0,8.399999618530273,18865.177734375
