year,brand,model,horsepower,consumption,places,doors,length,width,height,speed,acceleration,price_eur
1971,opel,commodor,95.5,11.166666984558105,5.0,2.0,460.5,173.0,141.5,180.0,9.100000381469727,3392.3779296875
1971,tal/matra,bagheera,57.5,9.0,2.0,2.0,420.0,162.0,120.0,175.0,,3925.722412109375
1971,ford,escort,32.5,8.300000190734863,5.0,2.0,398.0,157.0,140.5,126.0,26.700000762939453,1755.1328125
1971,tal/hillman,hunter,45.0,11.0,5.0,4.0,431.0,161.0,142.0,140.0,,2582.104736328125
1971,fiat,128,40.5,8.0,5.0,2.0,385.5,159.0,142.0,140.0,19.100000381469727,2124.67041015625
1971,tal/hillman,imp,28.5,7.5,5.0,4.0,353.0,153.0,138.0,128.0,,1661.5728759765625
1971,peugeot,504,64.0,11.899999618530273,6.0,4.0,449.0,169.0,146.0,162.0,,3925.443359375
1971,BMW,2002,73.5,10.0,5.0,2.0,423.0,159.0,141.0,170.0,10.899999618530273,3210.12060546875
1971,lancia,fulvia,62.5,8.800000190734863,5.0,4.0,415.5,155.5,140.0,160.0,15.5,3153.91162109375
1971,alfa romeo,2000,96.5,12.100000381469727,5.0,4.0,439.0,156.5,143.0,190.0,,3856.146728515625
1971,alfa romeo,1750,83.0,11.600000381469727,5.0,4.0,439.0,156.5,143.0,180.0,,3570.29443359375
1971,fiat,128,40.5,8.0,5.0,2.0,385.5,159.0,142.0,140.0,19.100000381469727,1825.6788330078125
1971,tal/sunb,1250,39.5,8.333333015441895,5.0,4.0,410.0,158.5,142.0,130.0,16.799999237060547,1987.220703125
1971,BMW,2500,110.5,10.899999618530273,5.0,4.0,470.0,175.0,145.0,190.0,10.399999618530273,5010.98974609375
1971,citroen,dyane,17.0,5.400000095367432,4.0,5.0,387.0,150.0,154.0,104.0,,1349.7943115234375
1971,citroen,ami,23.5,6.400000095367432,4.0,4.0,399.0,152.5,148.5,123.0,,1679.6678466796875
1971,fiat,127,33.0,7.199999809265137,5.0,4.0,359.5,152.5,136.0,140.0,18.5,1586.47998046875
1971,talbot,180,58.0,11.5,5.0,4.0,445.5,173.0,143.0,156.0,,2514.927978515625
1971,opel,admiral,97.0,13.399999618530273,6.0,4.0,490.0,183.5,144.5,175.0,,4735.99560546875
1971,nissan,1200,50.5,9.5,5.0,4.0,383.0,149.5,139.0,145.0,,1997.477294921875
1971,opel,ascona,50.5,10.0,5.0,2.0,412.5,162.5,138.5,145.0,18.0,2243.63623046875
1971,audi,60-75,40.5,8.699999809265137,5.0,2.0,438.0,163.0,145.0,138.0,18.0,2299.681396484375
1971,renault,8-10,31.5,7.0,5.0,4.0,399.5,149.0,140.5,133.0,23.200000762939453,1643.623779296875
1971,audi,prinz1000,29.5,7.833333492279053,5.0,2.0,379.0,149.0,136.0,130.0,20.0,1657.9429931640625
1971,peugeot,404,45.5,10.800000190734863,5.0,4.0,455.0,162.0,145.0,148.0,,2756.467529296875
1971,fiat,128,40.5,8.0,5.0,2.0,385.5,159.0,142.0,140.0,19.100000381469727,1792.2935791015625
1971,rover,1100,35.5,7.400000095367432,5.0,2.0,372.0,153.0,135.0,125.0,21.799999237060547,2002.6055908203125
1971,peugeot,204,35.5,9.0,5.0,4.0,399.0,156.0,140.0,140.0,,2141.070068359375
1971,audi,prinz4,22.0,6.0,5.0,2.0,344.0,149.0,136.0,120.0,31.0,1440.6953125
1971,VW,kaefer,25.0,7.5,5.0,2.0,407.0,155.0,150.0,115.0,37.0,1442.1246337890625
1971,audi,1200,40.5,7.833333492279053,5.0,2.0,400.0,150.0,139.0,144.0,14.5,1858.03955078125
1971,renault,4,22.0,5.833333492279053,4.0,5.0,367.0,148.5,155.0,110.0,,1503.4642333984375
1971,ford,taunus,40.5,9.0,5.0,2.0,427.0,170.0,137.0,138.0,20.700000762939453,2105.3017578125
1971,lancia,a112,32.5,7.199999809265137,4.0,2.0,323.0,148.0,134.0,135.0,18.0,1793.626953125
1971,rover,3500,111.0,13.0,4.0,4.0,456.0,168.0,142.0,190.0,10.600000381469727,6059.10009765625
1971,rover,2000,67.5,11.0,5.0,4.0,463.0,165.0,142.0,161.0,14.600000381469727,3535.970703125
1971,rover,toledo,45.5,10.0,4.0,2.0,397.0,157.0,137.0,142.0,16.0,2305.176025390625
1971,opel,record,37.0,10.833333015441895,5.0,2.0,456.5,172.0,140.5,143.0,20.0,2366.7158203125
1971,opel,viva,37.0,9.5,5.0,2.0,414.0,164.0,133.0,135.0,,1767.9853515625
1971,talbot,simca,40.5,8.5,4.0,3.0,392.0,159.0,146.0,146.0,,1828.8826904296875
1971,tal/simca,1000,32.5,7.0,4.0,4.0,380.0,148.5,139.5,133.0,23.700000762939453,1535.9293212890625
1971,audi,ro 80,84.5,11.199999809265137,5.0,4.0,478.0,176.0,141.0,180.0,14.199999809265137,4945.24365234375
1971,toyota,crown,95.5,10.0,6.0,4.0,468.0,169.0,142.0,170.0,,4445.12939453125
1971,alfa romeo,giulia,62.0,12.399999618530273,5.0,4.0,416.0,156.0,143.0,160.0,13.399999618530273,2744.181640625
